tag_kimg,nimgs,FID,MS-SSIM
878,256,369.41744425501236,0.9576959609985352
882,256,306.82214800908855,0.9207597970962524
886,256,285.94139027712606,0.8362798690795898
890,256,255.33190753059716,0.6790140271186829
894,256,242.9668063093068,0.543268084526062
898,256,234.65140861282163,0.42782869935035706
902,256,227.09696614914358,0.35306525230407715
906,256,212.4608870349943,0.31184569001197815
910,256,198.88914513490374,0.27112236618995667
914,256,190.55950545813147,0.25376811623573303
918,256,181.9134628434922,0.2482970803976059
922,256,175.73726577731185,0.21985098719596863
926,256,170.10126163481726,0.2027631402015686
930,256,168.69375420923535,0.20771972835063934
934,256,164.166633273117,0.19171039760112762
938,256,162.21516167781232,0.18349620699882507
942,256,157.20766076830483,0.17771793901920319
946,256,154.21773021365198,0.18624618649482727
950,256,151.09245114316295,0.1937236189842224
954,256,148.48805322356068,0.18493390083312988
958,256,147.09956186200498,0.19075338542461395
962,256,145.67852036297336,0.17935079336166382
966,256,145.73967133009057,0.1709098219871521
970,256,142.00713804951457,0.17279815673828125
974,256,140.98756770931365,0.17133620381355286
978,256,141.3726831503786,0.18090033531188965
982,256,143.4662795066854,0.17432036995887756
986,256,143.63807332991735,0.16822980344295502
990,256,143.38711117585075,0.16560471057891846
994,256,143.70436876586365,0.17750947177410126
998,256,143.40422123798345,0.18074840307235718
1002,256,143.76799153521569,0.17845900356769562
1006,256,144.47861779559273,0.18339945375919342
1010,256,145.95715902889054,0.18294286727905273
1014,256,146.60860453097843,0.17517784237861633
1018,256,147.3660932881265,0.17795222997665405
1022,256,146.91298949490331,0.16941490769386292
1026,256,146.2632644031982,0.17259865999221802
