epoch,g_loss,d_loss
257,5.262416,0.378145
258,5.106492,0.358178
259,4.735823,0.371690
260,4.937332,0.381830
261,5.527671,0.781857
262,4.328508,0.524944
263,4.312937,0.430603
264,5.304575,0.471051
265,4.494340,0.398611
266,4.233038,0.370151
267,5.232493,0.748128
268,4.161893,0.449043
269,4.485405,0.393239
270,5.882460,0.552480
271,4.183037,0.416623
272,4.550697,0.391988
273,4.769980,0.388903
274,5.286262,0.628877
275,4.157081,0.392593
276,4.481784,0.564318
277,3.878085,0.399754
278,4.426015,0.385339
279,4.510920,0.384633
280,4.904407,0.459935
281,5.596414,0.635109
282,4.191241,0.447290
283,4.498367,0.411542
284,4.948918,0.422033
285,5.027919,0.442133
286,5.124177,0.415359
287,4.877760,0.364415
288,8.443929,0.448255
289,4.149290,1.071577
290,4.141718,0.523056
291,4.263490,0.629481
292,4.394075,0.455901
293,4.258070,0.411289
294,4.688608,0.483782
295,4.552628,0.383704
296,4.693737,0.375592
297,4.986954,0.503963
298,4.318503,0.392490
299,5.095122,0.398347
300,4.596578,0.409619
301,4.258223,0.404867
302,4.369449,0.442521
303,4.456859,0.462330
304,4.694402,0.420447
305,4.388274,0.381561
306,5.159545,0.542122
307,4.173762,0.407855
308,4.722991,0.667975
309,4.133576,0.412554
310,4.319934,0.426105
311,4.463174,0.443263
312,5.032293,0.392666
313,4.339725,0.377702
314,5.742861,0.697439
315,3.972854,0.596406
316,4.027654,0.568676
317,4.056427,0.456393
318,4.270610,0.434376
319,4.595482,0.484248
320,4.776535,0.457985
321,4.698018,0.383762
322,4.687251,0.617947
323,4.400626,0.657523
324,4.108771,0.484062
325,4.115338,0.470704
326,4.632692,0.584502
327,4.576365,0.423596
328,4.491526,0.427583
329,4.233769,0.502330
330,4.709152,0.452848
331,4.207225,0.416417
332,4.839769,0.640901
333,3.991070,0.429171
334,4.111300,0.432055
335,4.276644,0.451054
336,4.160584,0.670452
337,3.454361,0.487689
338,4.109850,0.733165
339,3.538052,0.545821
340,4.098033,0.536086
341,3.857615,0.464727
342,3.934693,0.444319
343,3.964083,0.394321
344,3.822967,0.402404
345,4.135658,0.418786
346,4.491560,0.384007
347,4.079313,0.420334
348,3.659463,0.459265
349,4.093533,0.529221
350,3.983980,0.444417
351,4.483311,0.561538
352,4.032864,0.472200
353,4.408895,0.613151
354,4.093419,0.513315
355,4.060362,0.545322
356,4.007047,0.502011
357,4.082338,0.554917
358,4.133339,0.459383
359,3.874524,0.476340
360,3.790837,0.469581
361,3.907643,0.504207
362,3.936567,0.419921
363,4.232700,0.494866
364,4.084992,0.549766
365,3.647027,0.477927
366,4.039901,0.465690
367,3.735808,0.760310
368,3.822832,0.694878
369,3.592909,0.570990
370,4.041737,0.473729
371,4.268521,0.533669
372,3.706467,0.436501
373,3.754991,0.440018
374,3.783929,0.431563
375,4.397066,0.433713
376,4.341055,0.398114
377,4.062859,0.408019
378,5.171437,0.571488
379,3.813021,0.483292
380,3.815560,0.443428
381,4.311866,0.465008
382,4.313080,0.429083
383,4.097303,0.561406
384,3.602420,1.010372
385,3.283736,0.629125
386,3.738801,0.536952
387,3.504515,0.468781
388,3.871529,0.454439
389,3.868329,0.406188
390,3.632260,0.417595
391,4.132710,0.486197
392,4.094121,0.493348
393,4.173095,0.478454
394,3.979195,0.475464
395,4.806599,0.714977
396,3.817164,0.531849
397,3.900838,0.480611
398,3.875081,0.438798
399,3.960803,0.404915
400,3.926740,0.459941
401,4.002207,0.454346
402,4.140186,0.632988
403,3.763958,0.439066
404,3.723108,0.539501
405,3.667339,0.470588
406,3.873697,0.471952
407,3.833509,0.572448
408,3.749515,0.449203
409,4.166535,0.422364
410,3.970760,0.402961
411,4.233637,0.451622
412,4.356072,0.455488
413,4.436966,0.608004
414,3.852674,0.458549
415,4.238177,0.508827
416,4.341638,0.531846
417,3.908718,0.477303
418,3.794908,0.427538
419,4.065124,0.419309
420,3.973303,0.409951
421,3.980238,0.405805
422,4.115196,0.818395
423,3.430425,0.554560
424,3.499002,0.528512
425,3.678531,0.519732
426,3.479621,0.419039
427,3.772357,0.528171
428,4.082295,0.594056
429,3.779458,0.457878
430,4.147793,0.476117
431,3.789700,0.516042
432,3.707853,0.476920
433,3.827759,0.410113
434,4.466277,0.613550
435,3.784488,0.468582
436,3.941512,0.434751
437,4.040830,0.520714
438,3.735413,0.535706
439,4.163113,0.461210
440,3.970012,0.456673
441,4.027874,0.401176
442,4.176715,0.419309
443,4.147657,0.456948
444,3.993279,0.422530
445,4.063804,0.465740
446,4.158745,0.447870
447,4.138995,0.405900
448,4.033924,0.415469
449,4.135917,0.390711
450,4.714631,0.427734
451,4.209319,0.430664
452,4.255509,0.437483
453,3.977244,0.488491
454,4.327536,0.422527
455,4.127449,0.697280
456,3.556335,0.485550
457,4.347387,0.446785
458,4.059309,0.410647
459,4.134545,0.401782
460,4.138146,0.398956
461,3.993124,0.447069
462,4.357243,0.412019
463,3.954843,0.408413
464,4.044435,0.392673
465,4.259482,0.446240
466,3.904697,0.430433
467,3.820461,0.490848
468,3.401939,1.177218
469,3.828017,0.507473
470,3.593703,0.477894
471,4.182730,0.501049
472,4.136727,0.497814
473,4.018786,0.449157
474,3.952503,0.417919
475,4.004175,0.434635
476,4.007796,0.411499
477,4.049980,0.443177
478,4.358752,0.432185
479,4.212195,0.391686
480,4.478742,0.386599
481,4.459902,0.480243
482,4.190898,0.395754
483,4.040958,0.414156
484,4.024134,0.422482
485,4.266864,0.421931
486,3.970772,1.163889
487,2.985436,0.648065
488,3.520048,0.529278
489,3.570801,0.538196
490,3.902906,0.494099
491,3.770655,0.511574
492,3.923085,0.432982
493,3.922946,0.452794
494,3.825531,0.446637
495,4.023565,0.413454
496,4.010714,0.393219
497,4.112495,0.419950
498,4.496428,0.539649
499,4.210280,0.414955
500,4.252252,0.401131
501,4.252517,0.402367
502,4.193929,0.425888
503,4.416947,0.387673
504,3.915226,0.445634
505,4.137803,0.445888
506,4.191081,0.414011
507,4.248920,0.396844
508,4.654574,0.401176
509,4.300613,0.412771
510,4.266333,0.425688
511,4.196721,0.443479
512,4.494447,0.804726
513,3.491232,0.521668
514,4.116792,0.461863
515,3.818512,0.404664
516,4.543738,0.430302
517,4.361168,0.394263
518,4.390400,0.405461
519,4.521420,0.410395
520,4.257947,0.401492
521,4.483193,0.402084
522,4.159575,0.418247
523,4.216836,0.415348
524,4.111303,0.402368
525,4.267818,0.431996
526,4.337847,0.446135
527,4.398558,0.397351
528,4.299056,0.384521
529,4.415481,0.388307
530,4.606126,0.412708
531,4.201495,0.430923
532,4.234965,0.385285
533,4.361747,0.431149
534,4.262686,0.388171
535,4.533104,0.410474
536,4.227425,0.407015
537,4.400155,0.398808
538,4.278258,0.827504
539,4.068670,0.597891
540,4.190053,0.480660
541,3.837909,0.453361
542,4.220857,0.450815
543,4.248531,0.418440
544,4.618024,0.423498
545,4.539812,0.397231
546,4.724397,0.381111
547,4.441645,0.373842
548,4.571258,0.661560
549,3.777479,0.493779
550,4.449139,0.507477
551,4.010123,0.441770
552,4.178411,0.502940
553,4.073276,0.413791
554,4.266761,0.407058
555,4.378043,0.395073
556,4.503532,0.404881
557,4.372184,0.402923
558,4.455890,0.390694
559,4.269741,0.397713
560,4.419427,0.404425
561,4.696308,0.383482
562,4.463802,0.392450
563,4.685847,0.414333
564,4.413157,0.407035
565,4.346133,0.394637
566,4.164694,0.396075
567,4.180649,0.383213
568,4.569844,0.440156
569,4.517949,0.390214
570,4.219706,0.382224
571,4.490099,0.382000
572,4.241479,0.464732
573,4.470035,0.405737
574,4.434225,0.372751
575,4.670773,0.385805
576,4.572501,0.388544
577,4.528743,0.385659
578,4.718689,0.383266
579,4.605020,0.461985
580,4.286695,0.383993
581,4.409914,0.382364
582,4.593214,0.382399
583,4.631790,0.407201
584,4.800122,0.391976
585,4.713448,0.454447
586,4.597163,0.403589
587,4.342148,0.396997
588,4.560239,0.372880
589,4.619549,0.402425
590,4.627767,0.390595
591,4.473937,0.373823
592,4.538927,0.369360
593,4.578710,0.438353
594,4.602090,0.432450
595,4.554149,0.380585
596,4.396970,0.380998
597,4.472883,0.388207
598,4.901083,0.371150
599,4.675698,0.379813
600,4.596136,0.394967
601,4.533371,0.380446
602,4.360368,0.460270
603,4.478685,0.380577
604,4.422340,0.384005
605,4.687982,0.401238
606,4.706889,0.377493
607,4.448299,0.391712
608,4.455991,0.402409
609,4.574466,0.378164
610,4.413246,0.409641
611,4.527925,0.374688
612,4.430911,0.378747
613,4.625433,0.374466
614,4.875071,0.374735
615,4.706895,0.379482
616,4.645056,0.379366
617,4.865608,0.371116
618,4.841946,0.360522
619,4.830974,0.396268
620,4.718594,0.369142
621,4.764090,0.374981
622,4.495196,0.375491
623,4.546586,0.558320
624,4.260034,0.780905
625,3.817898,0.464527
626,4.339670,0.451652
627,4.145470,0.434100
628,4.275784,0.419856
629,4.377986,0.406753
630,4.536893,0.420267
631,4.475205,0.387567
632,4.397074,0.378560
633,4.579899,0.381273
634,4.549181,0.397552
635,4.692267,0.376447
636,4.732052,0.382044
637,4.407071,0.383030
638,4.462301,0.381386
639,4.713136,0.404915
640,4.898329,0.374015
641,4.638443,0.395235
642,4.684961,0.378959
643,4.707748,0.376727
644,4.763171,0.370230
645,4.443641,0.387622
646,4.574959,0.378525
647,4.651387,0.376366
648,4.782548,0.362196
649,4.790467,0.387778
650,4.827390,0.367616
651,4.637474,0.368974
652,4.760728,0.360641
653,4.748115,0.381672
654,4.594939,0.377027
655,4.873576,0.381925
656,4.732135,0.374479
657,4.529634,0.386421
658,4.849022,0.379746
659,4.838574,0.373861
660,4.825796,0.376903
661,4.673747,0.379665
662,4.803058,0.370166
663,4.873190,0.372318
664,4.500470,0.388613
665,4.819792,0.360795
666,4.783806,0.366998
667,4.613174,0.357372
668,4.715000,0.426531
669,4.731770,0.413430
670,4.797511,0.381775
671,4.897297,0.385738
672,4.923585,0.381728
673,4.873874,0.366801
674,4.874805,0.372004
675,4.605231,0.369249
676,5.054252,0.378904
677,4.986360,0.380741
678,5.027677,0.378602
679,5.104089,0.374286
680,5.038380,0.387825
681,4.632590,0.378494
682,4.738567,0.376415
683,4.881613,0.360605
684,4.804025,0.373406
685,4.712477,0.367686
686,4.782608,0.378883
687,4.825569,0.364838
688,4.817338,0.365714
689,4.847217,0.385560
690,4.798545,0.376670
691,5.036468,0.401362
692,4.966270,0.395962
693,4.754012,0.380388
694,4.775038,0.379426
695,4.758950,0.384001
696,4.669538,0.368790
697,4.525400,0.383247
698,4.805286,0.405793
699,4.746156,0.387234
700,4.526643,0.388073
701,4.819314,0.432657
702,4.741042,0.393579
703,4.923572,0.374081
704,4.586654,0.383110
705,4.642382,0.384730
706,4.737189,0.365932
707,4.702198,0.388176
708,4.612100,0.368408
709,4.748223,0.383625
710,4.700210,0.365070
711,4.700574,0.356623
712,5.113789,0.354325
713,4.973357,0.364786
714,5.137414,0.357444
715,5.080099,0.355971
716,4.952215,0.366099
717,4.895372,0.359904
718,4.927197,0.360111
719,5.052698,0.351466
720,5.134728,0.351181
721,4.985481,0.359514
722,5.285884,0.360120
723,4.918050,0.367211
724,5.021792,0.362886
725,4.807475,0.364696
726,4.869345,0.364612
727,4.855415,0.361694
728,4.762753,0.369480
729,4.836373,0.440310
730,4.865601,0.379086
731,4.774809,0.386123
732,4.853082,0.426707
733,4.733525,0.373582
734,4.864196,0.378862
735,4.859579,0.375040
736,4.899407,0.374096
737,4.735937,0.374972
738,4.828576,0.374988
739,4.672445,0.375473
740,4.651846,0.370008
741,4.784870,0.369141
742,4.847644,0.368224
743,4.846130,0.362043
744,4.737989,0.389108
745,5.225751,0.373257
746,5.057866,0.367023
747,5.141408,0.374686
748,5.171669,0.358080
749,5.108571,0.349690
750,5.066827,0.362807
751,4.276383,0.416088
752,4.641802,0.388712
753,4.819553,0.368540
754,5.087878,0.376183
755,4.843204,0.386774
756,4.528618,0.459597
757,4.710294,0.404128
758,4.874948,0.375841
759,4.837136,0.373046
760,4.883888,0.363196
761,4.743611,0.367847
762,4.957535,0.359597
763,5.013652,0.355940
764,5.078777,0.358889
765,4.912957,0.363564
766,5.201145,0.355454
767,4.995340,0.354827
768,4.995371,0.363554
769,5.252150,0.354434
770,5.242986,0.356635
771,5.158156,0.356318
772,5.122010,0.361874
773,5.013009,0.355053
774,4.787318,0.366380
775,5.059402,0.364664
776,5.229870,0.359960
777,4.839541,0.392543
778,5.052775,0.375429
779,4.931122,0.375590
780,4.972798,0.401320
781,4.712469,0.373822
782,4.838933,0.364795
783,4.743695,0.363807
784,4.994178,0.366751
785,5.017471,0.366930
786,5.224166,0.361040
787,5.056791,0.359544
788,5.208885,0.381588
789,4.887504,0.359792
790,5.029096,0.356990
791,4.805318,0.365370
792,4.932027,0.359872
793,5.024797,0.368601
794,5.048110,0.358053
795,5.019372,0.366194
796,5.024108,0.361126
797,5.023497,0.356896
798,4.957208,0.359961
799,4.959065,0.359647
800,5.060130,0.355851
801,5.090596,0.368293
802,5.000562,0.363305
803,5.071402,0.361105
804,5.118332,0.362107
